7561.605709
    3.57003000000000
817615
193 276.000000 136.000000
217 293.000000 136.000000
45 276.000000 150.000000
41 254.000000 193.000000
40 254.000000 221.000000
7 226.000000 207.000000
6 226.000000 186.000000
196 212.000000 136.000000
3 205.000000 150.000000
4 205.000000 171.000000
17 176.000000 299.000000
16 176.000000 328.000000
15 190.000000 328.000000
52 338.000000 221.000000
54 354.000000 200.000000
57 383.000000 186.000000
61 418.000000 186.000000
111 447.000000 193.000000
110 461.000000 193.000000
120 475.000000 171.000000
121 496.000000 171.000000
169 525.000000 193.000000
168 525.000000 214.000000
167 525.000000 233.000000
149 542.000000 250.000000
148 560.000000 250.000000
151 560.000000 264.000000
152 575.000000 264.000000
153 575.000000 271.000000
154 582.000000 271.000000
155 582.000000 285.000000
156 596.000000 285.000000
143 610.000000 278.000000
145 589.000000 257.000000
146 589.000000 250.000000
147 575.000000 250.000000
123 496.000000 214.000000
109 461.000000 214.000000
65 418.000000 221.000000
71 368.000000 257.000000
73 347.000000 264.000000
74 347.000000 278.000000
215 336.000000 298.000000
218 336.000000 306.000000
216 336.000000 313.000000
28 318.000000 335.000000
25 290.000000 356.000000
24 269.000000 356.000000
207 254.000000 356.000000
23 240.000000 356.000000
35 254.000000 335.000000
30 318.000000 299.000000
99 375.000000 285.000000
103 418.000000 264.000000
219 425.000000 264.000000
161 575.000000 321.000000
160 582.000000 321.000000
159 582.000000 314.000000
158 596.000000 314.000000
140 610.000000 321.000000
141 624.000000 321.000000
200 624.000000 299.000000
142 624.000000 278.000000
144 610.000000 257.000000
116 419.000000 150.000000
187 404.000000 136.000000
26 387.000000 136.000000
188 370.000000 136.000000
204 355.000000 136.000000
190 340.000000 136.000000
191 326.000000 136.000000
198 338.000000 150.000000
132 347.000000 150.000000
186 425.000000 136.000000
185 447.000000 136.000000
184 468.000000 136.000000
119 475.000000 150.000000
118 454.000000 150.000000
117 439.000000 150.000000
1 375.000000 164.000000
206 362.000000 164.000000
189 361.000000 150.000000
224 368.000000 150.000000
46 375.000000 150.000000
62 418.000000 200.000000
64 432.000000 221.000000
107 454.000000 243.000000
108 461.000000 243.000000
106 454.000000 250.000000
104 439.000000 264.000000
105 439.000000 250.000000
66 418.000000 235.000000
68 397.000000 243.000000
67 397.000000 235.000000
60 404.000000 186.000000
59 404.000000 179.000000
115 419.000000 167.000000
222 429.000000 167.000000
124 496.000000 243.000000
125 496.000000 271.000000
164 525.000000 314.000000
163 525.000000 335.000000
212 546.000000 335.000000
157 560.000000 335.000000
134 560.000000 356.000000
182 575.000000 356.000000
135 589.000000 356.000000
136 589.000000 342.000000
137 603.000000 342.000000
138 610.000000 342.000000
139 610.000000 335.000000
162 575.000000 335.000000
83 432.000000 342.000000
84 432.000000 356.000000
81 418.000000 353.000000
220 391.000000 353.000000
82 418.000000 342.000000
91 418.000000 321.000000
90 418.000000 314.000000
63 432.000000 200.000000
113 439.000000 179.000000
112 447.000000 179.000000
122 496.000000 193.000000
211 525.000000 250.000000
213 525.000000 261.000000
166 525.000000 281.000000
133 539.000000 356.000000
214 525.000000 356.000000
131 496.000000 356.000000
130 470.000000 356.000000
85 447.000000 356.000000
210 470.000000 345.000000
128 496.000000 335.000000
165 525.000000 299.000000
150 542.000000 264.000000
171 546.000000 171.000000
172 546.000000 150.000000
180 553.000000 136.000000
181 532.000000 136.000000
183 489.000000 136.000000
195 315.000000 136.000000
192 301.000000 136.000000
44 296.000000 150.000000
47 308.000000 150.000000
223 330.000000 150.000000
48 354.000000 164.000000
56 361.000000 186.000000
55 361.000000 200.000000
72 368.000000 264.000000
98 375.000000 299.000000
95 375.000000 321.000000
208 383.000000 333.000000
93 397.000000 333.000000
92 397.000000 321.000000
170 525.000000 171.000000
175 603.000000 150.000000
176 624.000000 150.000000
177 624.000000 136.000000
178 596.000000 136.000000
179 575.000000 136.000000
173 568.000000 150.000000
174 475.000000 160.000000
114 439.000000 167.000000
58 383.000000 179.000000
50 354.000000 174.000000
49 338.000000 174.000000
51 338.000000 200.000000
39 254.000000 243.000000
11 226.000000 314.000000
13 205.000000 335.000000
14 190.000000 335.000000
22 219.000000 356.000000
12 226.000000 335.000000
33 290.000000 335.000000
77 347.000000 328.000000
96 361.000000 321.000000
97 361.000000 299.000000
75 336.000000 278.000000
2 183.000000 150.000000
197 190.000000 136.000000
199 155.000000 136.000000
0 155.000000 150.000000
18 155.000000 299.000000
202 155.000000 314.000000
19 155.000000 328.000000
20 155.000000 356.000000
21 183.000000 356.000000
203 311.000000 356.000000
27 318.000000 356.000000
201 318.000000 321.000000
205 318.000000 314.000000
31 297.000000 299.000000
37 254.000000 292.000000
38 254.000000 271.000000
8 226.000000 235.000000
9 226.000000 264.000000
10 226.000000 292.000000
36 254.000000 314.000000
32 290.000000 328.000000
34 297.000000 328.000000
29 318.000000 328.000000
76 336.000000 328.000000
78 347.000000 342.000000
80 368.000000 353.000000
79 368.000000 342.000000
94 375.000000 333.000000
100 397.000000 285.000000
101 397.000000 271.000000
102 418.000000 271.000000
88 432.000000 292.000000
87 447.000000 292.000000
126 496.000000 292.000000
127 496.000000 317.000000
221 482.000000 335.000000
129 470.000000 335.000000
209 447.000000 335.000000
86 447.000000 321.000000
89 432.000000 314.000000
70 375.000000 257.000000
69 375.000000 243.000000
53 354.000000 221.000000
43 276.000000 171.000000
42 254.000000 171.000000
5 226.000000 171.000000
194 254.000000 136.000000
